Number,episode_id,episode_title,guest_name,guest_role,company_at_time,year,ai_era,woman_leader,ai_depth,career_stage,prior_big_tech,prior_founder,
True,aPM-1,The new AI growth playbook for 2025: How Lovable hit $200M ARR in one year,Elena Verna,Head of Growth,Lovable,2025,post_ai,True,operational,vp_head,True,True,Check
2,aPM-2,"The Godmother of AI on jobs, robots & why world models are next",Fei-Fei Li,Chief Executive Officer,World Labs,2025,post_ai,True,ai_native,exec,True,True,
3,aPM-3,The woman behind Canva shares how she built a $42B company from nothing,Melanie Perkins,Chief Executive Officer,Canva,2025,post_ai,True,operational,exec,False,True,
4,aPM-4,How Block is becoming the most AI-native enterprise in the world,Dhanji R. Prasanna,Chief Technology Officer,Block,2025,post_ai,False,operational,exec,True,True,Check
5,aPM-5,"AI Engineering 101 with Chip Huyen (Nvidia, Stanford, Netlifx)",Chip Huyen,Researcher,Stealth Startup,2025,post_ai,True,ai_native,founder,True,True,Check
6,aPM-6,How Google built AI Mode in under a year and why Gemini is now beating ChatGPT,Robby Stein,VP of Product,Google,2025,post_ai,False,ai_native,vp_head,True,True,Check
7,aPM-7,Why AI evals are the hottest new skill for product builders,Hamel Husain; Shreya Shankar,Visiting Student Researcher,Google,2025,post_ai,True,operational,operator,True,False,
8,aPM-8,Pricing your AI product: Lessons from 400+ companies and 50 unicorns,Madhavan Ramanjujam,General Partner,49 Palms Ventures,2025,post_ai,False,operational,exec,False,False,Check
9,aPM-9,"Anthropic co-founder on quitting OpenAI, AGI predictions, $100M talent wards, 20% unemployment, and the nightmare scenarios keeping him up at night",Benjamin Mann,Member of Technical Staff,Anthropic,2025,post_ai,False,ai_native,senior_ic,True,True,
10,aPM-10,Rapidly test and validate any startup idea with the 2-day Foundation Sprint (from the creators of the Design Sprint),Jake Knapp; John Zeratsky,General Partner,Character,2025,post_ai,False,aware,founder,True,True,Check
11,aPM-11,Growth tactics from OpenAI and Stripe's first marketer,Krithika Shankarraman,Executive in Residence,Thrive Capital,2025,post_ai,True,ai_native,exec,True,False,
12,aPM-12,"Unconvential product lessons from Binance, N26, Google, more",Mayur Kamat,Chief Product Officer,N26,2025,post_ai,False,operational,exec,True,True,Check
13,aPM-13,Microsoft CPO: If you aren't prototyping with AI you're doing it wrong,Aparna Chennapragada,Chief Product Officer,Microsoft,2025,post_ai,True,ai_native,exec,True,False,
14,aPM-14,"How Revolut trains world-class product managers: The ""local CEO"" model, raw intellect over experience, and a cultural obsession with building wowproducts",Dmitry Zlokazov,Head of Retail Product,Revolut,2025,post_ai,False,operational,vp_head,False,True,Check
15,aPM-15,Building Lovable: $10M ARR in 60 days with 15 people,Anton Osika,Co-Founder,Lovable,2025,post_ai,False,ai_native,exec,False,True,
16,aPM-16,"The creator of WordPress opens up about becoming an internet villain, why he's taking a stand, ant the future of open source",Matt Mullenweg,Chief Executive Officer,Wordpress,2025,post_ai,False,operational,exec,True,True,
17,aPM-17,A founder's guide to crisis management,Uri Levine,Founder,Pontera,2025,post_ai,False,none,founder,True,True,
18,aPM-18,OpenAI researcher on why soft skills are the future of work,Karina Nguyen,Angel Investor,Stealth Startup,2025,post_ai,True,ai_native,founder,True,True,Check
19,aPM-19,An operator's guide to product strategy,Chandra janakiraman,Chief Product Officer,VRChat Inc.,2025,post_ai,False,aware,exec,True,True,Check
20,aPM-20,10 growth tactics that never work,Elena Verna,Head of Growth,Lovable,2025,post_ai,True,aware,exec,True,True,Check
21,aPM-21,Why great AI products are all about the data,Shaun Clowes,Chief Product Officer,Confluent,2024,post_ai,False,ai_native,exec,True,False,
22,aPM-22,Behind the product: Duoling streaks,Jackson Shuttleworth,Director of Product Management,Duolingo,2024,post_ai,False,operational,operator,False,False,
23,aPM-23,The ulitmate guide to founder-led sales,Jen Abel,General Manager,State Affairs,2024,post_ai,True,none,operator,False,True,
24,aPM-24,Behind the product: Replit,Amjad Masad,Chief Executive Officer,Replit,2024,post_ai,False,ai_native,exec,True,True,
25,aPM-25,Building Wiz: the fastest-growing startup in history,Raaz Herzberg,Chief Marketing Officer,Wiz,2024,transition,True,aware,exec,True,False,
26,aPM-26,4 questions Shreyas Doshi wishes he'd asked himself sooner,Shreyas Doshi,Founder,High Leverage Labs,2024,transition,False,none,founder,True,True,Check
27,aPM-27,"Meta's Head of Product (and 29th employee) on working with Mark Zuckerberg, early growth tactics, why PMs are like conductors, and more",Naomi Gleit,Head of Product,Meta,2024,transition,True,none,exec,True,False,
28,aPM-28,"Succeeding as an introvert, building zero-to-one, and why you should PM your career like you PM your product",Deb Liu,Board Member,Intuit,2024,transition,True,none,exec,True,False,
29,aPM-29,5 essential questions to craft a winning strategy,Roger Martin,Founder,Roger L. Martin,2024,transition,False,none,founder,False,True,Check
30,aPM-30,Building a world-class data org,Jessica Lachs,Chief Analytics Officer,DoorDash,2025,post_ai,True,operational,exec,False,True,Check
31,aPM-31,"Building product at Stripe: craft, metrics, and customer obsession",Jeff Weinstein,Product Lead,Stripe,2024,transition,False,none,senior_ic,True,True,Check
32,aPM-32,Making an impact through authenticity and curiosity,Ami Vora,Head of Product,Anthropic,2024,transition,False,ai_native,vp_head,True,False,
33,aPM-33,"Be fundamentally different, not incrementally better",Jag Duggal,Chief Product Officer,Nubank,2024,transition,False,none,exec,True,False,
34,aPM-34,Business strategy with Hamilton Helmer (author of 7 powers),Hamilton Helmer,Chief Investment Officer,Strategy Capital,2024,transition,False,none,exec,False,True,Check
35,aPM-35,This will make you a better decision maker,Annie Duke,Special Partner,First Round Capital,2024,transition,True,none,senior_ic,False,True,Check
36,aPM-36,"Vision, conviction and hype: How to build 0 to 1 inside a company",Mihika Kapoor,Founder,Design Nation,2024,transition,True,none,founder,True,True,Check
37,aPM-37,A framework for finding product-market fit,Todd Jackson,Partner,First Round Capital,2024,transition,False,none,senior_ic,True,True,
38,aPM-38,How Netflix builds a culture of excellence,Elizabeth Stone,Chief Technology Officer,Netflix,2024,transition,True,ai_native,exec,False,False,
39,aPM-39,"Lessons from Atlassian: Launching new products, getting buy-in, and staying ahead of the competition",Megan Cook,Head of Product,Canva,2024,transition,True,aware,vp_head,True,False,
40,aPM-40,Good Strategy/Bad Strategy,Richard Rumelt,President,General Imagination,2024,transition,False,none,founder,False,False,
41,aPM-41,How to be more innovative,Sam Schillace,Chief Vice-President,Microsoft,2024,transition,False,aware,vp_head,True,True,
42,aPM-42,The engineering mindset,Will Larson,Chief Technology Officer,Imprint,2024,transition,False,aware,exec,True,True,Check
43,aPM-43,The essence of product management,Christian Idiodi,Partner,Silicon Valley Product Group,2023,pre_ai,False,none,senior_ic,False,True,Check
44,aPM-44,Crafting a compelling product vision,Ebi Atawodi,Sr. Director of Product,Google,2023,pre_ai,True,none,senior_ic,True,True,Check
45,aPM-45,The future of AI in software development,Inbal Shani,Chief Product Officer,Twilio,2023,pre_ai,True,operational,exec,True,False,
46,aPM-46,"Billion dolalr failures, and billion dollar success",Tom Conrad,Chief Executive Officer,Sonos,2023,pre_ai,False,none,exec,True,False,Check
47,aPM-47,The ultimate guide to product operations,Melissa Perri,Founder,Product Institute,2023,pre_ai,True,none,founder,False,True,Check
48,aPM-48,"Marketplace lessons from Uber, Airbnb, Bumble and more",Ramesh Johari,Advisor,Boam,2023,pre_ai,False,none,senior_ic,True,False,
49,aPM-49,Mastering product strategy and growing as a pm,Maggie Crowley,VP of Product,Toast,2023,pre_ai,True,none,vp_head,True,False,
50,aPM-50,"Scaling Duolingo, embracing failure and insight into Latin America's tech scene",Gina Gotthilf,Chief Marketing Officer,Outsmart,2023,pre_ai,True,none,exec,True,True,Check
