episode_id,career_leadership,data_ai,decision_making,discovery_innovation,founder_mode,growth,gtm,org_team,product_strategy
aPM-1,1,1,1,0,0,1,0,1,0
aPM-10,0,0,1,1,0,0,0,0,1
aPM-11,1,0,1,0,0,1,1,0,0
aPM-12,1,0,1,0,0,0,0,1,1
aPM-13,1,1,1,1,0,0,0,0,1
aPM-14,1,0,1,1,0,0,0,1,1
aPM-15,1,1,1,1,1,1,0,1,1
aPM-16,1,1,1,0,1,0,0,1,0
aPM-17,0,0,1,0,1,0,0,0,0
aPM-18,1,1,0,1,0,0,0,0,0
aPM-19,0,0,1,0,0,0,0,0,1
aPM-2,1,1,1,1,1,0,0,0,0
aPM-20,0,0,1,0,0,1,0,1,0
aPM-21,1,1,1,0,0,1,0,0,1
aPM-22,0,0,1,1,0,1,0,0,1
aPM-23,0,0,1,0,1,1,1,0,0
aPM-24,1,1,0,1,1,0,0,0,1
aPM-25,1,0,1,1,0,1,1,0,1
aPM-26,1,0,1,0,0,0,0,0,0
aPM-27,1,0,1,0,0,1,0,1,1
aPM-28,1,0,1,1,0,0,0,0,1
aPM-29,0,0,1,0,0,0,0,0,1
aPM-3,1,0,1,1,1,0,0,0,1
aPM-30,0,1,1,0,0,0,0,1,0
aPM-31,1,0,1,1,0,1,0,0,1
aPM-32,1,0,1,0,0,0,0,1,1
aPM-33,0,0,1,1,0,1,1,0,1
aPM-34,0,0,1,0,0,0,0,0,1
aPM-35,0,0,1,0,0,0,0,0,0
aPM-36,0,0,1,1,0,0,0,1,1
aPM-37,0,0,1,1,1,1,0,0,1
aPM-38,1,1,1,0,0,0,0,1,0
aPM-39,0,0,1,1,0,0,0,1,1
aPM-4,0,1,1,0,0,0,0,1,0
aPM-40,0,0,1,0,0,0,0,0,1
aPM-41,1,0,0,1,1,0,0,0,0
aPM-42,1,0,1,0,0,0,0,1,1
aPM-43,1,0,1,1,0,0,0,0,0
aPM-44,1,0,1,0,0,0,0,1,1
aPM-45,0,1,1,1,0,0,0,0,0
aPM-46,1,0,1,0,1,0,0,0,1
aPM-47,0,0,1,0,0,0,0,1,1
aPM-48,0,1,1,0,0,1,0,0,1
aPM-49,1,0,1,0,0,0,0,0,1
aPM-5,0,1,1,1,0,0,0,0,1
aPM-50,1,0,1,0,0,1,1,0,0
aPM-6,1,1,1,1,0,1,0,0,1
aPM-7,0,1,1,1,0,0,0,0,1
aPM-8,0,0,1,0,1,1,1,0,1
aPM-9,1,1,1,0,1,0,0,0,1
